"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0005840"	0.0027165827767091	2.81058278200924	0.00271658277670909	0.911119216798984	131	0.0027165827767091
"GO:0003735"	0.00310146523019546	2.77425594839654	0.00310146523019545	0.911119216798984	105	0.00310146523019546
"GO:0006614"	0.00542990516319112	2.6015956373628	0.00542990516319112	0.911119216798984	63	0.00542990516319112
"GO:0000184"	0.00752851214001962	2.46441319551281	0.00752851214001964	0.911119216798984	85	0.00752851214001962
"GO:0002181"	0.00823513656101491	2.44737398310091	0.00823513656101492	0.911119216798984	59	0.00823513656101491
"GO:0032729"	0.00879731556712507	2.46201992346095	0.00879731556712509	0.911119216798984	35	0.00879731556712507
"GO:0006397"	0.0128304016421883	2.2381765604779	0.0128304016421883	0.911119216798984	277	0.0128304016421883
"GO:0022626"	0.0130622906653092	2.26606688894419	0.0130622906653092	0.911119216798984	56	0.0130622906653092
"GO:0008380"	0.0134580160587435	2.22124738468317	0.0134580160587435	0.911119216798984	223	0.0134580160587435
"GO:0002250"	0.0138710736809447	2.22516311403997	0.0138710736809447	0.911119216798984	87	0.0138710736809447
"GO:0006413"	0.0149078664712642	2.19135152781656	0.0149078664712643	0.911119216798984	105	0.0149078664712642
"GO:0042104"	0.0168067470655756	2.33652258188298	0.0168067470655756	0.911119216798984	13	0.0168067470655756
"GO:0019083"	0.0173192879387091	2.13696947334468	0.017319287938709	0.911119216798984	78	0.0173192879387091
"GO:0032418"	0.0179556456491358	2.19402944301547	0.0179556456491358	0.911119216798984	24	0.0179556456491358
"GO:0022625"	0.0215575709651875	2.06955428534783	0.0215575709651875	0.911119216798984	40	0.0215575709651875
"GO:0001772"	0.0238250225096219	2.04529312328029	0.0238250225096219	0.911119216798984	29	0.0238250225096219
"GO:0050821"	0.0241762572781794	1.98468390267927	0.0241762572781794	0.911119216798984	139	0.0241762572781794
"GO:0006412"	0.0294022334767179	1.89515675019141	0.0294022334767179	0.911119216798984	222	0.0294022334767179
"GO:0008047"	0.0349060354944034	1.85084319678897	0.0349060354944034	0.911119216798984	37	0.0349060354944034
"GO:0005681"	0.0370001020840609	1.79593129785932	0.0370001020840609	0.911119216798984	120	0.0370001020840609
"GO:0000398"	0.0399425979969032	1.75702258138746	0.0399425979969032	0.911119216798984	179	0.0399425979969032
"GO:0032740"	0.0402216552910749	1.85931522732427	0.0402216552910749	0.911119216798984	14	0.0402216552910749
"GO:0015935"	0.0402216552910749	1.85931522732427	0.0402216552910749	0.911119216798984	14	0.0402216552910749
"GO:0006364"	0.040870628290521	1.74693714730471	0.040870628290521	0.911119216798984	161	0.040870628290521
"GO:0044183"	0.043481786463595	1.75642392459563	0.043481786463595	0.911119216798984	28	0.043481786463595
"GO:0070125"	0.0455669106104404	1.70738492021259	0.0455669106104405	0.911119216798984	59	0.0455669106104404
"GO:0048704"	0.0465257316736389	1.70436126141475	0.0465257316736389	0.911119216798984	44	0.0465257316736389
"GO:0007040"	0.049862505431437	1.68179198876778	0.049862505431437	0.911119216798984	31	0.049862505431437
"GO:0070126"	0.0503800482641238	1.65683337999102	0.0503800482641239	0.911119216798984	62	0.0503800482641239
"GO:0005249"	0.0540239654082249	1.62692490484436	0.0540239654082249	0.911119216798984	48	0.0540239654082249
"GO:1904724"	0.0543577561650595	1.63477737996937	0.0543577561650595	0.911119216798984	33	0.0543577561650595
"GO:0009952"	0.0553941965951447	1.60518741706325	0.0553941965951447	0.911119216798984	82	0.0553941965951447
"GO:0043236"	0.0568153430798342	1.63638990477312	0.0568153430798343	0.911119216798984	20	0.0568153430798342
"GO:0051015"	0.0579011328377591	1.577533247172	0.0579011328377591	0.911119216798984	158	0.057901132837759
"GO:0002230"	0.0597492402635147	1.6058652704563	0.0597492402635147	0.911119216798984	21	0.0597492402635146
"GO:0002376"	0.0626816742328061	1.5352790459516	0.0626816742328062	0.911119216798984	264	0.0626816742328061
"GO:0006369"	0.0657919619624482	1.54811859879786	0.0657919619624482	0.911119216798984	23	0.0657919619624482
"GO:0005685"	0.0662381240174696	1.61842859268679	0.0662381240174696	0.911119216798984	10	0.0662381240174696
"GO:0006898"	0.0665983367727982	1.51219384783888	0.0665983367727983	0.911119216798984	71	0.0665983367727982
"GO:1990904"	0.068195130832495	1.49583448485261	0.068195130832495	0.911119216798984	108	0.068195130832495
"GO:0018279"	0.0689038700393	1.5206209081895	0.0689038700393	0.911119216798984	24	0.0689038700393
"GO:0022627"	0.0689038700393	1.5206209081895	0.0689038700393	0.911119216798984	24	0.0689038700393
"GO:0003729"	0.0692087685622438	1.48625483124646	0.0692087685622439	0.911119216798984	147	0.0692087685622438
"GO:0031083"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0001833"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0097623"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0010614"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0008250"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0007625"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0045667"	0.0704510311304329	1.56756257861797	0.0704510311304329	0.911119216798984	11	0.0704510311304329
"GO:0071005"	0.0716576460415086	1.48274700718573	0.0716576460415086	0.911119216798984	40	0.0716576460415086
"GO:0032735"	0.0720775329148699	1.49389815046786	0.0720775329148699	0.911119216798984	25	0.0720775329148699
"GO:1904813"	0.074457845495463	1.45041927067092	0.0744578454954631	0.911119216798984	93	0.074457845495463
"GO:0099524"	0.0746800580654494	1.52223030135939	0.0746800580654495	0.911119216798984	12	0.0746800580654494
"GO:0043202"	0.0767769899899904	1.43567658499443	0.0767769899899904	0.911119216798984	76	0.0767769899899904
"GO:0007166"	0.0782098899733231	1.42110729788139	0.0782098899733231	0.911119216798984	153	0.0782098899733231
"GO:0006506"	0.0786125142098965	1.44245655511712	0.0786125142098965	0.911119216798984	27	0.0786125142098965
"GO:0071007"	0.0786125142098965	1.44245655511712	0.0786125142098965	0.911119216798984	27	0.0786125142098965
"GO:0086005"	0.0789513628087878	1.48092114548943	0.0789513628087879	0.911119216798984	13	0.0789513628087878
"GO:1900029"	0.0789513628087878	1.48092114548943	0.0789513628087879	0.911119216798984	13	0.0789513628087878
"GO:0071157"	0.0789513628087878	1.48092114548943	0.0789513628087879	0.911119216798984	13	0.0789513628087878
"GO:0030425"	0.0802693711120598	1.40475489773713	0.0802693711120598	0.911119216798984	368	0.0802693711120598
"GO:0043025"	0.0828826336740013	1.38758490968125	0.0828826336740014	0.911119216798984	326	0.0828826336740013
"GO:0030030"	0.0829697975693932	1.3889711879071	0.0829697975693932	0.911119216798984	156	0.0829697975693932
"GO:0101031"	0.0832807071025254	1.44265041751292	0.0832807071025254	0.911119216798984	14	0.0832807071025254
"GO:0060307"	0.0832807071025254	1.44265041751292	0.0832807071025254	0.911119216798984	14	0.0832807071025254
"GO:0048489"	0.0832807071025254	1.44265041751292	0.0832807071025254	0.911119216798984	14	0.0832807071025254
"GO:0097067"	0.0832807071025254	1.44265041751292	0.0832807071025254	0.911119216798984	14	0.0832807071025254
"GO:0001736"	0.0832807071025254	1.44265041751292	0.0832807071025254	0.911119216798984	14	0.0832807071025254
"GO:0048026"	0.0876777788240843	1.40674786927535	0.0876777788240843	0.911119216798984	15	0.0876777788240843
"GO:1901379"	0.0876777788240843	1.40674786927535	0.0876777788240843	0.911119216798984	15	0.0876777788240843
"GO:0050776"	0.0884425414121967	1.36365135452439	0.0884425414121967	0.911119216798984	46	0.0884425414121967
"GO:1901224"	0.094434505602435	1.3256980950511	0.094434505602435	0.911119216798984	48	0.094434505602435
"GO:0008076"	0.0957438925652123	1.31425020364527	0.0957438925652123	0.911119216798984	66	0.0957438925652123
"GO:0043198"	0.0960515007381226	1.32294035653938	0.0960515007381225	0.911119216798984	32	0.0960515007381226
"GO:0035145"	0.096696518754788	1.34028567865412	0.096696518754788	0.911119216798984	17	0.096696518754788
"GO:0019882"	0.096696518754788	1.34028567865412	0.096696518754788	0.911119216798984	17	0.096696518754788
"GO:0044325"	0.0969480625248645	1.30393032735687	0.0969480625248645	0.911119216798984	104	0.0969480625248645
"GO:0007052"	0.099161635159338	1.2909719809235	0.099161635159338	0.911119216798984	105	0.099161635159338
"GO:0015459"	0.0997266746065605	1.30027914956594	0.0997266746065605	0.911119216798984	33	0.0997266746065605
"GO:0009925"	0.0997266746065605	1.30027914956594	0.0997266746065605	0.911119216798984	33	0.0997266746065605
"GO:0042102"	0.0997266746065605	1.30027914956594	0.0997266746065605	0.911119216798984	33	0.0997266746065605
"GO:0051603"	0.0997266746065605	1.30027914956594	0.0997266746065605	0.911119216798984	33	0.0997266746065605
